a,DIV,LAM,Vmax,VENTR,Lmax,MRT,NMPRT,RR,RTE,TT,L,ENTR,DET,TREND
0.3,0.003891051,0,0,NaN,257,44.64250681,890,0.020424729,1.175062491,0,65.73333333,2.079151273,0.911275416,-0.019414861
0.3,0.003891051,0,0,NaN,257,44.47788094,892,0.020386975,1.164254814,0,65.8,2.079151273,0.913888889,-0.018726051
0.3,0.003891051,0,0,NaN,257,44.3280654,887,0.020424729,1.167023441,0,65.73333333,2.079151273,0.911275416,-0.02150982
0.3,0.003891051,0,0,NaN,257,44.33333333,882,0.020405852,1.179874559,0,61.0625,1.834609634,0.903792784,-0.023112903
0.3,0.003891051,0,0,NaN,257,44.68139662,886,0.020405852,1.183801304,0,61,2.014035524,0.902867715,-0.021017944
0.3,0.003891051,0,0,NaN,257,44.8438012,886,0.020386975,1.185415438,0,61.0625,1.834609634,0.90462963,-0.020850584
0.3,0.003891051,0,0,NaN,257,44.77141298,886,0.020405852,1.18647884,0,57.47058824,2.119280922,0.903792784,-0.021017944
0.3,0.003891051,0,0,NaN,257,44.95630803,889,0.020386975,1.183870288,0,65.46666667,1.898926789,0.909259259,-0.019788317
0.3,0.003891051,0,0,NaN,257,44.63025669,889,0.020386975,1.178615058,0,65.46666667,1.898926789,0.909259259,-0.019788317
0.3,0.003891051,0,0,NaN,257,44.59138025,886,0.020405852,1.1823098,0,65.4,2.079151273,0.907493062,-0.019955678
0.3,0.003891051,0,0,NaN,257,44.53464266,886,0.020405852,1.173560387,0,65.66666667,2.079151273,0.91119334,-0.02134246
0.3,0.003891051,0,0,NaN,257,44.42708902,885,0.020386975,1.171520193,0,61.375,2.100678921,0.909259259,-0.021883277
0.3,0.003891051,0,0,NaN,257,44.31512835,886,0.020386975,1.17083949,0,61.375,1.927392126,0.909259259,-0.021883277
0.3,0.003891051,0,0,NaN,257,44.55313351,888,0.020424729,1.177151337,0,61.125,1.894689117,0.903881701,-0.020831216
0.3,0.003891051,0,0,NaN,257,44.69830878,886,0.020405852,1.183007875,0,57.47058824,2.119280922,0.903792784,-0.021017944
0.3,0.003891051,0,0,NaN,257,44.74276352,891,0.020386975,1.17814505,0,65.46666667,1.898926789,0.909259259,-0.019788317
